Nombre del Producto,Marca,Categoria,Tamaño,Codigo de Barras
PINTEFACE LATEX INTERIOR EXTERIOR,PINTEFACE,Látex,20L,11322000
SKYLACK BARNIZ A/S,SKYLACK,Barniz,0.9L+0.45L,220130L9
SKYLACK BARNIZ PU BICOMP,SKYLACK,Barniz,0.75L+0.15L,220100L3
SKYLACK PRIMER PU HS CINZA,SKYLACK,Primer,0.75L+0.15L,640094L3
VICTORIA 2 EN 1 CONVERTIDOR BLANCO,VICTORIA,Convertidor,20L,22022001
VICTORIA 2 EN 1 CONVERTIDOR NEGRO,VICTORIA,Convertidor,20L,22022015
VICTORIA 2 EN 1 CONVERTIDOR NEGRO,VICTORIA,Convertidor,4L,22020415
VICTORIA ALTA TEMP ALUMINIO,VICTORIA,Especialidad,1L,22090117
VICTORIA ALTA TEMP ALUMINIO,VICTORIA,Especialidad,4L,22090417
VICTORIA BARNIZ MARINO UV,VICTORIA,Barniz,1L,22110100
VICTORIA BARNIZ MARINO UV,VICTORIA,Barniz,4L,22110400
VICTORIA BARNIZ MARINO UV,VICTORIA,Barniz,500ML,22111200
VICTORIA BARNIZ MATE,VICTORIA,Barniz,1L,22130100
VICTORIA BARNIZ MATE,VICTORIA,Barniz,4L,22130400
VICTORIA BARNIZ SATINADO,VICTORIA,Barniz,1L,22120100
VICTORIA BARNIZ SATINADO,VICTORIA,Barniz,4L,22120400
VICTORIA BARNIZ SATINADO,VICTORIA,Barniz,500ML,22121200
VICTORIA BARNIZ SINTETICO,VICTORIA,Barniz,1L,22100100
VICTORIA BARNIZ SINTETICO,VICTORIA,Barniz,20L,22102000
VICTORIA BARNIZ SINTETICO,VICTORIA,Barniz,4L,22100400
VICTORIA BARNIZ SINTETICO,VICTORIA,Barniz,500ML,22101200
VICTORIA DOBLE FACE MEM LIQUIDA BLANCA,VICTORIA,Impermeabilizante,10L,11181001
VICTORIA DOBLE FACE MEM LIQUIDA BLANCA,VICTORIA,Impermeabilizante,20L,11182001
VICTORIA DOBLE FACE MEM LIQUIDA ROJA,VICTORIA,Impermeabilizante,10L,1018100480
VICTORIA DOBLE FACE MEM LIQUIDA ROJO,VICTORIA,Impermeabilizante,20L,1018200480
VICTORIA E/S 2 EN 1 ANTIOX + CONVER BLANCO,VICTORIA,Convertidor,4L,22020401
VICTORIA E/S 2 EN 1 FONDO VERDE,VICTORIA,Fondo,4L,22020430
VICTORIA E/S 3 EN 1 ALUMINIO,VICTORIA,Esmalte,1L,22010117
VICTORIA E/S 3 EN 1 ALUMINIO,VICTORIA,Esmalte,20L,22012017
VICTORIA E/S 3 EN 1 ALUMINIO,VICTORIA,Esmalte,4L,22010417
VICTORIA E/S 3 EN 1 AMARILLO,VICTORIA,Esmalte,1L,22010104
VICTORIA E/S 3 EN 1 AMARILLO,VICTORIA,Esmalte,4L,22010404
VICTORIA E/S 3 EN 1 AMARILLO M.,VICTORIA,Esmalte,20L,2001200560
VICTORIA E/S 3 EN 1 AMARILLO MEDIANO,VICTORIA,Esmalte,1L,22010156
VICTORIA E/S 3 EN 1 AMARILLO MEDIANO,VICTORIA,Esmalte,4L,22010456
VICTORIA E/S 3 EN 1 AMARILLO SOL,VICTORIA,Esmalte,1L,22010158
VICTORIA E/S 3 EN 1 AMARILLO SOL,VICTORIA,Esmalte,4L,22010458
VICTORIA E/S 3 EN 1 AZUL FRANCIA,VICTORIA,Esmalte,500ML,22011263
VICTORIA E/S 3 EN 1 AZUL FRANCIA,VICTORIA,Esmalte,1L,22010163
VICTORIA E/S 3 EN 1 AZUL FRANCIA,VICTORIA,Esmalte,20L,22012063
VICTORIA E/S 3 EN 1 AZUL FRANCIA,VICTORIA,Esmalte,4L,22010463
VICTORIA E/S 3 EN 1 AZUL MARINO,VICTORIA,Esmalte,4L,22010443
VICTORIA E/S 3 EN 1 AZUL TRAFUL,VICTORIA,Esmalte,1L,22010141
VICTORIA E/S 3 EN 1 AZUL TRAFUL,VICTORIA,Esmalte,20L,2001200410
VICTORIA E/S 3 EN 1 AZUL TRAFUL,VICTORIA,Esmalte,4L,22010441
VICTORIA E/S 3 EN 1 BEIGE,VICTORIA,Esmalte,4L,22010409
VICTORIA E/S 3 EN 1 BERMELLON,VICTORIA,Esmalte,1L,22010102
VICTORIA E/S 3 EN 1 BERMELLON,VICTORIA,Esmalte,4L,22010402
VICTORIA E/S 3 EN 1 BLANCO BRILLANTE,VICTORIA,Esmalte,1/4L,2001140010
VICTORIA E/S 3 EN 1 BLANCO BRILLANTE,VICTORIA,Esmalte,1L,22010101
VICTORIA E/S 3 EN 1 BLANCO BRILLANTE,VICTORIA,Esmalte,20L,22012001
VICTORIA E/S 3 EN 1 BLANCO BRILLANTE,VICTORIA,Esmalte,4L,22010401
VICTORIA E/S 3 EN 1 BLANCO MATE,VICTORIA,Esmalte,1L,22010171
VICTORIA E/S 3 EN 1 BLANCO MATE,VICTORIA,Esmalte,20L,22012071
