2026-03-28 01:08:48,508 [INFO] Iniciando vigilante en: C:\Facturas
2026-03-28 01:08:48,508 [INFO] Endpoint: https://vcgkycpkbovwskugcnll.supabase.co/functions/v1/stock-deduct
2026-03-28 01:08:48,508 [INFO] Ubicación de venta: sucursal_1
2026-03-28 01:09:06,577 [INFO] ──────────────────────────────────────────────────
2026-03-28 01:09:06,578 [INFO] Nuevo PDF detectado: test_run_1774670944.pdf
2026-03-28 01:09:06,707 [INFO]   Detectado → código=06010741  desc=ZEOFLEX MAS.P/PLAST.0.7KG.  cantidad=1
2026-03-28 01:09:10,398 [ERROR] [test_run_1774670944.pdf] HTTP 404 para {'codigo': '06010741', 'descripcion': 'ZEOFLEX MAS.P/PLAST.0.7KG.', 'cantidad': 1}: sin respuesta
2026-03-28 01:14:23,984 [INFO] Iniciando vigilante en: C:\Facturas
2026-03-28 01:14:23,985 [INFO] Endpoint: https://vcgkycpkbovwskugcnll.supabase.co/functions/v1/stock-deduct
2026-03-28 01:14:23,985 [INFO] Ubicación de venta: sucursal_1
2026-03-28 01:14:23,988 [INFO] ──────────────────────────────────────────────────
2026-03-28 01:14:23,988 [INFO] Nuevo PDF detectado: 04000FCB000070000884920260327.pdf
2026-03-28 01:14:24,095 [INFO]   Detectado → código=06010741  desc=ZEOFLEX MAS.P/PLAST.0.7KG.  cantidad=1
2026-03-28 01:14:27,603 [INFO] [04000FCB000070000884920260327.pdf] ✓ 06010741 -1 unid.  Stock anterior: 3  → Nuevo: 2
2026-03-28 01:15:03,258 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:27,676 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:27,678 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:27,680 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:27,682 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:32,685 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:32,686 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:32,688 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:32,691 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:37,696 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:37,698 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:37,700 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:37,703 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:42,706 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:42,707 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:42,708 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:42,709 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:47,710 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:47,711 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:47,713 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:47,714 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:52,716 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:52,717 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:52,718 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:52,720 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:15:57,722 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:15:57,723 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:15:57,723 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:15:57,724 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:02,727 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:02,728 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:02,729 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:02,730 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:07,734 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:07,737 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:07,740 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:07,744 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:12,748 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:12,752 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:12,755 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:12,757 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:17,761 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:17,765 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:17,768 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:17,770 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:22,774 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:22,778 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:22,785 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:22,788 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:27,791 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:27,792 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:27,794 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:27,796 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:32,798 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:32,799 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:32,800 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:32,800 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:37,803 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:37,806 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:37,809 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:37,812 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:42,814 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:42,815 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:42,816 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:42,817 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:47,820 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:47,823 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:47,827 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:47,831 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:52,833 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:52,834 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
